17:15:48 partition APPLIED (node1 cut from node2+node3)
17:15:48 local-api: real 3.01 user 0.07 sys 0.04 
17:15:53 local-api: real 3.01 user 0.08 sys 0.04 
17:15:58 local-api: real 3.01 user 0.07 sys 0.04 
17:16:03 local-api: real 3.01 user 0.07 sys 0.05 
17:16:08 local-api: real 3.02 user 0.10 sys 0.05 
17:16:13 local-api: real 3.02 user 0.13 sys 0.05 
17:16:18 local-api: real 3.01 user 0.11 sys 0.05 
17:16:23 local-api: real 3.02 user 0.11 sys 0.05 
17:16:28 local-api: real 3.02 user 0.11 sys 0.05 
17:16:33 local-api: real 3.01 user 0.10 sys 0.05 
17:16:38 local-api: real 3.01 user 0.08 sys 0.04 
17:16:43 local-api: real 3.01 user 0.08 sys 0.04 
17:16:48 local-api: real 3.01 user 0.08 sys 0.04 
17:16:53 local-api: real 3.01 user 0.08 sys 0.04 
17:16:58 local-api: real 3.01 user 0.07 sys 0.04 
17:17:03 local-api: real 3.01 user 0.08 sys 0.03 
17:17:08 local-api: real 3.01 user 0.07 sys 0.05 
17:17:13 local-api: real 3.01 user 0.07 sys 0.05 
17:17:19 local-api: real 3.01 user 0.08 sys 0.04 
17:17:24 local-api: real 3.01 user 0.08 sys 0.04 
17:17:29 local-api: real 3.01 user 0.08 sys 0.03 
17:17:34 local-api: real 3.01 user 0.08 sys 0.04 
17:17:39 local-api: real 3.01 user 0.07 sys 0.04 
17:17:44 local-api: real 3.01 user 0.07 sys 0.03 
17:17:49 local-api: real 3.01 user 0.08 sys 0.04 
17:17:54 local-api: real 3.01 user 0.08 sys 0.04 
17:17:59 local-api: real 3.01 user 0.08 sys 0.04 
17:18:04 local-api: real 3.01 user 0.07 sys 0.05 
17:18:09 local-api: real 3.01 user 0.07 sys 0.04 
17:18:14 local-api: real 3.01 user 0.08 sys 0.04 
17:18:19 local-api: real 3.01 user 0.06 sys 0.06 
17:18:24 local-api: real 3.01 user 0.08 sys 0.04 
17:18:29 local-api: real 3.01 user 0.07 sys 0.05 
17:18:34 local-api: real 3.01 user 0.08 sys 0.04 
17:18:39 local-api: real 3.01 user 0.08 sys 0.04 
17:18:44 local-api: real 3.01 user 0.08 sys 0.04 
17:18:49 local-api: real 3.01 user 0.08 sys 0.04 
17:18:54 local-api: real 3.01 user 0.06 sys 0.05 
17:18:59 local-api: real 3.01 user 0.08 sys 0.04 
17:19:04 local-api: real 3.01 user 0.08 sys 0.04 
17:19:09 local-api: real 3.01 user 0.08 sys 0.04 
17:19:14 local-api: real 3.01 user 0.08 sys 0.03 
17:19:19 local-api: real 3.01 user 0.07 sys 0.05 
17:19:24 local-api: real 3.01 user 0.06 sys 0.05 
17:19:29 local-api: real 3.01 user 0.08 sys 0.04 
17:19:34 local-api: real 3.01 user 0.08 sys 0.04 
17:19:39 local-api: real 3.01 user 0.08 sys 0.04 
17:19:44 local-api: real 3.01 user 0.07 sys 0.04 
17:19:49 local-api: real 3.01 user 0.08 sys 0.04 
17:19:54 local-api: real 3.01 user 0.08 sys 0.04 
17:19:59 local-api: real 3.01 user 0.07 sys 0.04 
17:20:04 local-api: real 3.01 user 0.08 sys 0.04 
17:20:09 local-api: real 3.01 user 0.07 sys 0.04 
17:20:14 local-api: real 3.01 user 0.08 sys 0.04 
17:20:19 local-api: real 3.01 user 0.07 sys 0.05 
17:20:24 local-api: real 3.01 user 0.08 sys 0.03 
17:20:29 local-api: real 3.01 user 0.06 sys 0.05 
17:20:34 local-api: real 3.01 user 0.08 sys 0.04 
17:20:39 local-api: real 3.01 user 0.07 sys 0.05 
17:20:44 local-api: real 3.01 user 0.07 sys 0.04 
17:20:49 partition LIFTED
